d,Date,sigla_acao,nome_acao,preco_abertura,preco_max,preco_minimo,preco_fechamento,Volume_negocios
0,2020-03-23,ITUB4,ITAUUNIBANCO,22.26,22.49,20,20.52,53457900
1,2020-03-24,ITUB4,ITAUUNIBANCO,21.7,23.28,21.5,22.5,51467700
2,2020-03-25,ITUB4,ITAUUNIBANCO,22.23,24.73,22.01,23.6,43889700
3,2020-03-26,ITUB4,ITAUUNIBANCO,24.23,24.82,23.72,24.25,50777700
4,2020-03-27,ITUB4,ITAUUNIBANCO,23.02,24.02,22.51,22.97,41981300
5,2020-03-30,ITUB4,ITAUUNIBANCO,23.11,24.39,22.83,24.11,30225500
6,2020-03-31,ITUB4,ITAUUNIBANCO,23.95,24.25,22.81,23.09,40625200
7,2020-04-01,ITUB4,ITAUUNIBANCO,22.22,22.38,21.19,21.4,44343800
8,2020-04-02,ITUB4,ITAUUNIBANCO,21.38,22,21.15,21.5,39156300
9,2020-04-03,ITUB4,ITAUUNIBANCO,21.42,21.48,20.01,20.66,37393100
10,2020-04-06,ITUB4,ITAUUNIBANCO,22.14,22.68,21.89,22.18,39305700
11,2020-04-07,ITUB4,ITAUUNIBANCO,23.5,23.88,22.92,23,38049700
12,2020-04-08,ITUB4,ITAUUNIBANCO,23.01,24.39,22.94,24.18,40947000
13,2020-04-09,ITUB4,ITAUUNIBANCO,24.46,24.7,23.5,23.5,37307000
14,2020-04-13,ITUB4,ITAUUNIBANCO,23.45,24,23.02,24,21602700
15,2020-04-14,ITUB4,ITAUUNIBANCO,24.46,25.15,24.3,24.3,33766100
16,2020-04-15,ITUB4,ITAUUNIBANCO,23.85,24.48,23.37,23.4,34845100
17,2020-04-16,ITUB4,ITAUUNIBANCO,23.7,23.82,22.8,22.81,31071300
18,2020-04-17,ITUB4,ITAUUNIBANCO,23.44,23.61,22.61,23.22,25164100
19,2020-04-20,ITUB4,ITAUUNIBANCO,22.72,22.97,22.5,22.64,28583800
